ID	Name	Desc	sParam1	sParam2
52	发狂的兽群	    一群狂暴的野猪出现在附近，它们充满了敌意。		
53	秘闻			
54	秘闻			
55	秘闻			
56	秘闻			
57	秘闻			
58	秘闻			
59	秘闻			
61	秘闻			
62	秘闻			
63	秘闻			
64	秘闻			
65	秘闻			
66	秘闻			
67	秘闻			
68	秘闻			
69	秘闻			
70	秘闻			
71	秘闻			
72	秘闻			
73	秘闻			
74	秘闻			
75	秘闻			
80	暖流	    冬日之中，一股暖流经过此地，这个冬天将会温和很多。		
81	凉风	    夏日之中，一股寒流经过此地，这个夏天将会凉爽很多。		
82	丰收的气息	    丰收的气息弥漫开来。		
83	灵气爆发	    不知道什么原因，天地间的灵气突然爆发了。部分植物受此侵染，化为灵木。		
84	秘闻			
85	春天的气息	    春天的气息弥漫开来。		
86	妖兽入侵	    一些兔妖出现在附近，它们充满敌意。		
87	妖兽入侵	    一些狼妖出现在附近，它们充满敌意。		
88	妖兽入侵	    一些蛇妖出现在附近，它们充满敌意。		
89	妖兽入侵	    一些猪妖出现在附近，它们充满敌意。		
90	妖兽入侵	    一些熊妖出现在附近，它们充满敌意。		
91	妖兽入侵	    一些巨蛙出现在附近，它们充满敌意。		
92	妖兽入侵	    一些巨龟出现在附近，它们充满敌意。		
93	妖兽入侵	    一些妖兽出现在附近，它们充满敌意。		
94	妖龙踪迹			
95	凶凤踪迹			
96	烛龙踪迹			
97	上古修行者			
1000	龙路过			
1001	灵气爆发			
1002	凤路过			
10000	建立门派	    我们隐居于此，重入仙门，而且还重新建立了自己的小门派。这会是一个崭新传奇的开始么？\n\n[color=#D06508]    解锁装饰类建筑\n    解锁更多修炼建筑[/color]		
10001	名声大震	    我们的门派也逐渐显露出了名声，这真的很不容易。让我们将他继续经营壮大。\n\n[color=#D06508]    门派人口上限提升！[/color]		
10002	赫赫威名	    我们的门派在修行界也已经有了赫赫威名，成了人人向往的修行圣地。\n\n[color=#D06508]    门派人口上限提升！\n    可以通过门派结构功能开设分堂了！[/color]		
10003	掌门上任	    [NAME]成为了我们的掌门，[IT]一定可以带领大家走向仙途。		
10004	缺少掌门	    我们需要有人来担任掌门。\n[color=#D06508]可以在门派面板的[门派结构中]设置掌门[/color]		
10005	引荐弟子	    被引荐的弟子快要到了。		
10006	逃离乱世	    由于匆忙出逃，并没有携带太多物资。连日的奔波几乎耗光了你们的精力。\n    没有别的选择，你们只能暂时于此休整，以待后话。		
10007	惊魂初定	    温暖的篝火稍稍驱散了疲劳和不安。短暂的讨论后，你们觉得应该已经逃离危险，于是决定在此建立一个临时驻地。\n\n[color=#D06508]    解锁结构建筑\n    解锁基础家具\n    解锁基础工作台\n    解锁地板及屋顶[/color]		
10008	安居于此	    这段时间里，虽然失去师兄长辈的悲痛依然纠缠，但你们逐渐放松下来。察觉到此处人迹罕至，追兵似乎已经放弃了追索，你们商量了一下，决定再这里生活下去。\n\n[color=#D06508][/color]		
10009	新家园	    你们似乎都习惯了这里的生活：虽然不如师门尤在时的心安，但也能自给自足。这未尝不是一种修行？\n    这是乱世之中的新家园，它将会是一个不错的开始吗？所有人都饱含期待。\n\n[color=#D06508]    解锁进阶家具\n    解锁进阶工作台[/color]		
10010	外门弟子叛逃	    你的外门弟子[NAME]因为无法忍受现在的生活而在深夜叛逃了。		
10011	重入仙门	    我们中有人突破了那层限制！\n    [IT]立刻感受到了天地间那股强大能量：\n    灵气！\n    修仙之门向我们敞开了！\n\n[color=#D06508]    灵气变得可见了！\n    可以建立门派了！[/color]		
10012	离别	    我不知道我做错了什么，但既然你们要求，那我便离开了。谢谢大家这段时间的照顾！\n[TXT] 和你们在一起，我很快乐。		
10013	预测	    [NAME]对未来的预测结果是：\n[TXT]		
10014	石匣发光	    今夜是月圆之夜，当初道士赐予你们的石匣在午夜子时突然发出光芒，随后裂开一条缝隙，似乎可以轻松的打开了。		
10015	获得修炼法诀	    获得了新的修炼法诀：[TXT]		
10016	开启修炼系统	    你们获得了第一本修行法诀，获取了踏上仙路的资格。仙路艰难，但乱世如苦海，人生似浮萍，求证飞升之道也许是唯一的超脱途径。\n\n[color=#D06508]    解锁修炼系统！\n    解锁修炼建筑！\n    (门派面板可以随时查看所有功法)[/color]		
10017	敌人入侵	    一波充满敌意的家伙出现在了附近。		
10018	飞升	    [NAME]历经劫难，终于超脱此界，飞升成仙。只留下仙人遗蜕，供后世之人瞻仰。\n有诗为证：\n[color=#D06508]    混沌初分盘古先，太极两仪四象悬。\n    女娲抟土万灵出，伏羲画卦阴阳前。\n    百年修行刀兵祸，定中不觉已千年。\n    劫来散尽无余说，凡尘此去尽如烟。[/color]		
10019	强力进攻	    [TXT]派出一队精英弟子前来报复。		
10020	强力进攻	    [TXT]派出门中高手前来报复。		
10021	强力进攻	    [TXT]派出派中长老前来报复。		
10022	怒火	    你的行为惹怒了[TXT]，他们即将采取措施。		
10023	天劫将至	    [NAME]的修为达到了瓶颈，天劫即将降临！		
10024	神秘仙人	    几日内，你们昼伏夜出，终于逃到了一处隐秘的山坳。就在刚刚放松时，一道遁光突然落下，显出一名修行者的身形。		
10025	神秘仙人	    神秘的修行者深深地看了一眼四周，化为一道遁光消失在了远方。		
10026	新手模式	    恭喜你，你已经基本掌握了《了不起的修仙模拟器》的玩法内容。\n    接下来你可以通过经典模式，建立自己的角色，开始真正的修行之旅。当然你也可在新手模式中继续游玩。\n    祝您游戏愉快。		
10027	殒命	    世事艰难，你们的仙路尚未开启竟已断绝。只留天地悠悠，令人怆然而泣。		
10028	灭门	    [TXT]只留天地悠悠，令人怆然而泣。		
10029	新的开始	    一名避难山中的旅人发现了这片遗迹，无路可走之下，[IT]决定暂时在此居住下来。		
10030	神秘仙人	    你们感觉到一道温和的气息在身边停留了片刻，然后逐渐变弱并消失，好像从来没出现过……		
10031	仙家洞天	    [TXT]成为仙家洞天，一时气象万千，名声大增。		
10032	静修	    [NAME]由于驻扎在外时间过长，即将返回门派静修。		
10033	驻扎受伤	    [NAME]由于驻扎期间受伤，即将返回门派修养。		
10034	融入门派	    经过一段时间的相处，[NAME]彻底融入了门派。		
10035	蠢蠢欲动	    感应到金丹修士的气息，生存于此的[NAME]似乎感到了不安……		
10036	进攻	    为防止你们继续壮大，生存于此的[NAME]发动袭击了！		
10037	蠢蠢欲动	    感受到你们门派似乎并没有什么潜藏的威胁，生存于此的[NAME]渐渐起了歹意……		
10038	进攻	    无法忍受血食的诱惑，生存于此的[NAME]发动袭击了！		
10039	进化妖兽	    受天气灵气影响，一只[NAME]福至心灵，化为了妖兽。		
10040	凶煞之气	    [NAME]行至此处，突然感到一阵危险的气息，似乎有什么凶物盘踞在附近。在[NAME]感应中，这股气息甚至不亚于金丹期修士，还是远离此处为妙。		
10041	神秘洞穴	    近日，门派地下日益频繁的震动忽然停了下来，于此同时，一个神秘的洞穴出现在地表。从洞穴中传出晦涩而强大的意念，不知道是什么来历。\n    近日屡有上古修行者出世，也许可以向他们打探一些消息。		
10042	需求祭祀	    神秘洞穴中忽然传递出饱含威胁的意念，它要你贡献[TXT]。		
10043	完成祭祀	    你在洞穴前完成了祭祀，神秘的意念很满足。		
10044	暴雨之灾	    神秘的意念十分震怒，一场暴雨应声而来。		
10045	灵气枯潮	    神秘的意念十分震怒，洞穴入口传出强大的吸力，将四周灵气掠夺一空。		
10046	永夜之灾	    神秘的意念十分震怒，怒火之下，一场永夜降临了。		
10047	妖兽入侵	    神秘的意念十分震怒，招来了一些妖兽入侵。		
10048	怒火降临	    神秘的意念十分震怒，喷出几道愤怒的洪流，破坏了地表。		
10049	龙出土	    神秘意念的不满达到了极致，伴随着一阵天崩地裂的巨响，一只庞然巨物破土而出了。		
10050	异常的高温	    不知什么原因，天地间温度突然提高了许多，这种天气变化远远超过正常天气的范畴，似乎蕴含着什么非同寻常的情况。		
10051	暴乱的野兽	    异常的干旱气候使周边的野兽陷入疯狂，一群暴乱的野兽出现在门派附近！		
10052	天坠火羽	    一股热浪划过天空，似乎有什么东西坠落下来。		
10053	加剧的干旱	    持续的高温带来了一场干旱，不知是不是错觉，温度似乎越来越高了，如果不采取什么对策，情况也许会变得更加恶劣。		
10054	发狂的妖兽	    一些妖兽似乎因恐惧而发狂，竟然离开自己的领地开始四处破坏！		
10055	天坠火羽	    一股热浪划过天空，似乎有什么东西坠落下来。		
10056	凄厉的凶鸣	    在施法驱散这日益加剧的干旱后，天地间似乎诡异的安静了半柱香的时间。短暂的安静过后，远处群山突然惊起大片飞鸟，一阵凄厉的凶鸣响彻九霄！		
10057	凶凰降临	    凶凰降临了。		
10058	永夜开始	    不知何故，天地间阴阳之力突然陷入混乱，门派附近百里竟然陷入漆黑的深夜。		
10059	阴之卵出现	    深夜中，一些奇特的卵突然出现在附近，其中似乎孕育着什么……		
10060	极昼开始	    不知何故，天地间阴阳之力突然陷入混乱，门派附近百里突然转为正午时分……不知道这此阴阳混乱会持续多久？		
10061	阳之卵出现	    白昼中，一些奇特的卵突然出现在附近，其中似乎孕育着什么……		
10062	烛龙登场	    持续混乱的阴阳之息终于到达极致，伴随一阵悠长的叹息，一头庞大的身影自天地间显化而出！		
10063	烛龙出现	    随着奇特的卵孵化，天地间的阴阳之息开始陷入混乱！		
10064	烛龙出现	    随着奇特的卵被破坏，天地间的阴阳之息开始陷入混乱！		
10065	天地异变	    近日，中原腹地突然发生了一次灵气爆发。最初并无人重视，只认为此乃寻常的灵脉异动。然而随着时间推移，众人才发现此次灵气爆发规模与强度均远超预期，以爆发点为圆心一路蔓延，已经持续月余，竟然是一场波及整个修行界的剧变。\n    而今，灵气爆发的余波已经蔓延到了你的门派，众人在享受丰沛灵气的同时也不禁疑惑这场剧变意味着什么……		
10066	千年灵潮	    自灵气狂潮席卷修行界已过数日，修行界各大门派也从门派典籍中渐渐确定，此次异变应当是三千年一次轮回的灵气潮汐再度来临。受此千年灵潮影响，一些因各种原因沉睡的上古修行者也陆续苏醒。\n    上古之时，修行界尚无如今的秩序，只是奉行弱肉强食的理念。这些奉行上古之道的修行者以强横的修为，在短短数天，已在修行界掀起了波澜……		
10067	南荒异变	    近日，北疆群山中发生一场神秘的天灾。据说当时山摇地动数十息，声震千里。等附近的修行者赶到时，只发现百里山川尽数化为泽国，现场只感受到庞大的妖气弥漫。\n    看来受千年灵潮的影响，一些平日隐藏于深山大泽难得一见的上古妖兽似乎也开始变得活跃起来。		
10068	地下异声	    千年灵潮已经即将过去，短短月余时间，古代修行者出世，上古妖兽重新活跃……修行界格局已经发生巨变。不过随着时间的推移，修行界也渐渐重新达成新的稳定，一切似乎都重新走向正轨。\n    不过近日，门派地下似乎震动频繁，不知是什么原因……		
10069	古修入侵	    一路追踪之下，这名古代修行者成功找到你的山门。		
10070	凶兽苏醒	    盘踞在此地的妖兽苏醒了。		
10071	天威屠龙	    天劫之力将未完全孵化的蛟龙之生机尽数湮灭……		
