Key	Value
无滤镜	无滤镜
岁月	岁月
铭记	铭记
幽冥	幽冥
水墨	水墨
人间	人间
红尘	红尘
缥缈	缥缈
古卷	古卷
日升	日升
夏意	夏意
妙趣	妙趣
[{0}](禁止)	[{0}](禁止)
(热爱)	(热爱)
(着迷)	(着迷)
[{8}]{6}\n能力评分:{0:N0}/{1:N0}({9:N0}%)\n\t等级:{2}/{11}({5})\n\t经验:{3}{4}\n{7}\n\n{10}	[{8}]{6}\n能力评分:{0:N0}/{1:N0}({9:N0}%)\n\t等级:{2}/{11}({5})\n\t经验:{3}{4}\n{7}\n\n{10}
{0:F0}秒	{0:F0}秒
{0:F0}天	{0:F0}天
({0:F1}天)	({0:F1}天)
{0}的{1}	{0}的{1}
采集或者历练	采集或者历练
<font color=#B65704>可选主材料(或):\n</font>	<font color=#B65704>可选主材料(或):\n</font>
[color=#FF0000](无库存)[/color]\n[color=#604343]来源：{0}[/color]	[color=#FF0000](无库存)[/color]\n[color=#604343]来源：{0}[/color]
<font color=#B65704>必须材料:\n</font>	<font color=#B65704>必须材料:\n</font>
神乎其技	神乎其技
大师	大师
精通	精通
入门	入门
外行	外行
她的	她的
他的	他的
她	她
他	他
大吉	大吉
吉	吉
小吉	小吉
小凶	小凶
凶	凶
大凶	大凶
仙家洞天	仙家洞天
修行宝地	修行宝地
灵秀之地	灵秀之地
冲煞之所	冲煞之所
逆运之局	逆运之局
九幽绝地	九幽绝地
山寨	山寨
洞天	洞天
精品	精品
优秀	优秀
一般	一般
糟糕	糟糕
无品质	无品质
华丽	华丽
精美	精美
普通	普通
丑陋	丑陋
圣物	圣物
神物	神物
灵物	灵物
凡物	凡物
土壤肥沃	土壤肥沃
土壤丰饶	土壤丰饶
土壤良质	土壤良质
土壤贫瘠	土壤贫瘠
宛如仙境	宛如仙境
景色绝美	景色绝美
景观优美	景观优美
景观不错	景观不错
环境平常	环境平常
环境脏乱	环境脏乱
环境恶劣	环境恶劣
极热	极热
炎热	炎热
温度适宜	温度适宜
寒冷	寒冷
极寒	极寒
刺眼	刺眼
晃眼	晃眼
光线适宜	光线适宜
昏暗	昏暗
漆黑	漆黑
卓越	卓越
擅长	擅长
中庸	中庸
勉强	勉强
不擅	不擅
巨大	巨大
大	大
中	中
小	小
拥挤	拥挤
恰当	恰当
空旷	空旷
豪华	豪华
精致	精致
简陋	简陋
美轮美奂	美轮美奂
满目凋敝	满目凋敝
不为人知	不为人知
籍籍无名	籍籍无名
素门凡流	素门凡流
略有耳闻	略有耳闻
小有名气	小有名气
初见江湖	初见江湖
名声渐传	名声渐传
广为人知	广为人知
大名鼎鼎	大名鼎鼎
闻名遐迩	闻名遐迩
名扬天下	名扬天下
声震寰宇	声震寰宇
百年流传	百年流传
名震千古	名震千古
旷古绝今	旷古绝今
万载留名	万载留名
灵性澎湃	灵性澎湃
灵性充沛	灵性充沛
灵性隐隐	灵性隐隐
煞性隐隐	煞性隐隐
煞性凝练	煞性凝练
煞性凌冽	煞性凌冽
自身生长速度很慢，对周边环境产生极大的正面增益。	自身生长速度很慢，对周边环境产生极大的正面增益。
自身生长速度较慢，对周边环境产生较大的正面增益。	自身生长速度较慢，对周边环境产生较大的正面增益。
自身生长速度略慢，对周边环境产生略微的正面增益。	自身生长速度略慢，对周边环境产生略微的正面增益。
自身生长速度略快，对周边环境产生略微的负面影响。	自身生长速度略快，对周边环境产生略微的负面影响。
自身生长速度较快，对周边环境产生较大的负面影响。	自身生长速度较快，对周边环境产生较大的负面影响。
自身生长速度很快，对周边环境产生极大的负面影响。	自身生长速度很快，对周边环境产生极大的负面影响。
空	空
鼎炉潜力尚未开发，炼精化气效率极高。	鼎炉潜力尚未开发，炼精化气效率极高。
始	始
鼎炉潜力开发伊始，炼精化气效率较高。	鼎炉潜力开发伊始，炼精化气效率较高。
鼎炉潜力开发泰半，炼精化气效率正常。	鼎炉潜力开发泰半，炼精化气效率正常。
盈	盈
鼎炉潜力几尽枯竭，炼精化气效率较慢。	鼎炉潜力几尽枯竭，炼精化气效率较慢。
满	满
鼎炉潜力开发至极限，需结丹以突破鼎炉之限。	鼎炉潜力开发至极限，需结丹以突破鼎炉之限。
略有灵韵	略有灵韵
灵韵天生	灵韵天生
灵韵澎湃	灵韵澎湃
任意大小的	任意大小的
极小的	极小的
狭小的	狭小的
大小适中的	大小适中的
宽大的	宽大的
极大的	极大的
极小	极小
狭小	狭小
适中	适中
宽大	宽大
极大	极大
金属性	金属性
木属性	木属性
水属性	水属性
火属性	火属性
土属性	土属性
混元属性	混元属性
极其利于	极其利于
特别利于	特别利于
较为利于	较为利于
稍微利于	稍微利于
位于墙角	位于墙角
三面为墙	三面为墙
贴墙而放	贴墙而放
不贴墙	不贴墙
位于门旁	位于门旁
位于床第蒲团之侧	位于床第蒲团之侧
位于祖师牌位之侧	位于祖师牌位之侧
位于工坊台案之侧	位于工坊台案之侧
位于炼宝台之侧	位于炼宝台之侧
位于炼丹炉之侧	位于炼丹炉之侧
位于炉灶之侧	位于炉灶之侧
远离床第蒲团	远离床第蒲团
远离祖师牌位	远离祖师牌位
远离工坊台案	远离工坊台案
远离炼宝台	远离炼宝台
远离炼丹炉	远离炼丹炉
远离炉灶	远离炉灶
初始化..	初始化..
最后的准备.	最后的准备.
    天苍历245年，腊月。\n    立派于月轮山的正道门派太一门，突遭外敌入侵。太一门掌教虽临阵突破金丹，但却在追击敌人时身陷绝龙阵，最终陨落。\n    是夜，太一门满门尽灭。仅有数名外门弟子在传功长老的帮助下逃出山门……	    天苍历245年，腊月。\n    立派于月轮山的正道门派太一门，突遭外敌入侵。太一门掌教虽临阵突破金丹，但却在追击敌人时身陷绝龙阵，最终陨落。\n    是夜，太一门满门尽灭。仅有数名外门弟子在传功长老的帮助下逃出山门……
选择存档	选择存档
今天的{0:N0}点	今天的{0:N0}点
{0:N0}个小时后	{0:N0}个小时后
{0}天后的{1:N0}点	{0}天后的{1:N0}点
微乎其微	微乎其微
{0}成	{0}成
读取存档	读取存档
抱歉，WeGame异常导致游戏即将退出。	抱歉，WeGame异常导致游戏即将退出。
是否确定退出游戏	是否确定退出游戏
上个存档正在写入，目前还不能再次存档。	上个存档正在写入，目前还不能再次存档。
神秘人	神秘人
它的	它的
它	它
晴天	晴天
空地	空地
上的	上的
载入配置	载入配置
初始化游戏数据失败，游戏将不能正常运行。请检查数据完整性和确认模组数据正确。\n依然要进入吗？	初始化游戏数据失败，游戏将不能正常运行。请检查数据完整性和确认模组数据正确。\n依然要进入吗？
资源加载(1/2)..	资源加载(1/2)..
资源加载(2/2)..	资源加载(2/2)..
初始化{0}..({1}/{2})	初始化{0}..({1}/{2})
自动存档..	自动存档..
存档中...	存档中...
存档	存档
存档完毕！	存档完毕！
记录世界	记录世界
准备数据	准备数据
写入数据	写入数据
即将完成	即将完成
非常抱歉！存档失败。\n愤怒的您可能会责怪开发团队，您的确有理由这样做，这本不应该发生。\n我们非常抱歉！请尝试读取旧的存档。\n如果需要支持或者报告问题，请发送邮件至:QA@GSQStudio.com。	非常抱歉！存档失败。\n愤怒的您可能会责怪开发团队，您的确有理由这样做，这本不应该发生。\n我们非常抱歉！请尝试读取旧的存档。\n如果需要支持或者报告问题，请发送邮件至:QA@GSQStudio.com。
读取存档文件	读取存档文件
载入数据:{0}/{1}	载入数据:{0}/{1}
逆转因果，有干天和。已无法在真仙模式下使用。\n(你已经离开真仙模式)	逆转因果，有干天和。已无法在真仙模式下使用。\n(你已经离开真仙模式)
子时,子夜时分,三更时分,夜半时分,夜深之时,万籁俱静	子时,子夜时分,三更时分,夜半时分,夜深之时,万籁俱静
丑时,鸡鸣时分,四更时分,星垂夜阔,西月微斜	丑时,鸡鸣时分,四更时分,星垂夜阔,西月微斜
寅时,黎明时分,平旦之时,五更时分,月沉西落,东方渐白	寅时,黎明时分,平旦之时,五更时分,月沉西落,东方渐白
卯时,日出时分,破晓时分,日始时分,清晨初雾,晨光初露	卯时,日出时分,破晓时分,日始时分,清晨初雾,晨光初露
辰时,早食之刻,日初之时,生气苏始	辰时,早食之刻,日初之时,生气苏始
巳时,日禺之时,隅中时分	巳时,日禺之时,隅中时分
午时,日中之时,正午之时,响午时分	午时,日中之时,正午之时,响午时分
未时,日央之刻,日昳时分,日斜心慵	未时,日央之刻,日昳时分,日斜心慵
申时,夕食之刻,日闲之时,响午之后	申时,夕食之刻,日闲之时,响午之后
酉时,日落时分,日沉之刻,傍晚时分,暮色怅晚,鸟倦云舒	酉时,日落时分,日沉之刻,傍晚时分,暮色怅晚,鸟倦云舒
戌时,黄昏时分,日夕之刻,日暮时分,起更之时,华灯初上	戌时,黄昏时分,日夕之刻,日暮时分,起更之时,华灯初上
亥时,人定之时,二更时分,夜深人静,月上柳梢,夜幕深沉	亥时,人定之时,二更时分,夜深人静,月上柳梢,夜幕深沉
舒服	舒服
开心	开心
工作	工作
在工作之时，正感觉有点无聊	在工作之时，正感觉有点无聊
在工作之时，突然心有所感	在工作之时，突然心有所感
在工作间余，刚小憩片刻	在工作间余，刚小憩片刻
在工作之时，突觉莫名伤心	在工作之时，突觉莫名伤心
在工作之时，正累的气喘吁吁	在工作之时，正累的气喘吁吁
在工作时，突然走神	在工作时，突然走神
在工作时略有所得，正喜上眉梢	在工作时略有所得，正喜上眉梢
工作不顺，觉得有点灰心	工作不顺，觉得有点灰心
正专心工作	正专心工作
无心工作，正想偷懒	无心工作，正想偷懒
刚在工作时走了走神	刚在工作时走了走神
工作时仿佛犯冲，正感觉有点生气	工作时仿佛犯冲，正感觉有点生气
正在乐呵呵的工作中	正在乐呵呵的工作中
施展神通	施展神通
练功	练功
意兴阑珊的准备开始今天的筑基功课	意兴阑珊的准备开始今天的筑基功课
热身结束，刚准备开始筑基	热身结束，刚准备开始筑基
在筑基之时，正感觉有点无聊	在筑基之时，正感觉有点无聊
在筑基之时，突然心有所感	在筑基之时，突然心有所感
在筑基间余，刚小憩片刻	在筑基间余，刚小憩片刻
在筑基之时，突觉莫名伤心	在筑基之时，突觉莫名伤心
在筑基时突然走神	在筑基时突然走神
在筑基时略有所得，喜上眉梢	在筑基时略有所得，喜上眉梢
筑基不顺，觉得有点灰心	筑基不顺，觉得有点灰心
正专心筑基	正专心筑基
无心筑基，正想偷懒	无心筑基，正想偷懒
筑基时处处受挫，正感觉有点生气	筑基时处处受挫，正感觉有点生气
正懒懒散散的筑基中	正懒懒散散的筑基中
觉得筑基艰难，正有点灰心	觉得筑基艰难，正有点灰心
正在为筑基困扰	正在为筑基困扰
筑基时走岔了气，正准备休息一下	筑基时走岔了气，正准备休息一下
正在筑基	正在筑基
练功筑基许久，正累的气喘吁吁	练功筑基许久，正累的气喘吁吁
结束今天的筑基功课，刚准备擦擦汗	结束今天的筑基功课，刚准备擦擦汗
刚结束今天的筑基功课	刚结束今天的筑基功课
刚完成筑基，正觉得有点意犹未尽	刚完成筑基，正觉得有点意犹未尽
突破	突破
准备突破瓶颈	准备突破瓶颈
突破瓶颈前，正觉得有点心神不宁	突破瓶颈前，正觉得有点心神不宁
信心满满，正准备突破瓶颈	信心满满，正准备突破瓶颈
突破结束，正感慨大道难测	突破结束，正感慨大道难测
打坐修行	打坐修行
刚准备开始修行	刚准备开始修行
平心静气，准备修行	平心静气，准备修行
打坐修行许久，正准备休息一下	打坐修行许久，正准备休息一下
此次修行大有所获，正感欣喜	此次修行大有所获，正感欣喜
修行时总觉得心神不宁，正打算缓缓	修行时总觉得心神不宁，正打算缓缓
修炼时无法静心，刚走了会神	修炼时无法静心，刚走了会神
在修行之时，正感觉杂念丛生	在修行之时，正感觉杂念丛生
被突然的悲伤打断了修行	被突然的悲伤打断了修行
在修行时略有所得，正略感欣喜	在修行时略有所得，正略感欣喜
修行不顺，觉得有点灰心	修行不顺，觉得有点灰心
正专心修行	正专心修行
无心修行，正想偷懒	无心修行，正想偷懒
刚在修行时走了走神	刚在修行时走了走神
修行时杂念频起，正感觉有点生气	修行时杂念频起，正感觉有点生气
刚完成今天的修行	刚完成今天的修行
今天的修行结束，正感觉神完气足	今天的修行结束，正感觉神完气足
闲来无事，准备练习秘法	闲来无事，准备练习秘法
准备好仪轨符具，准备练习秘法	准备好仪轨符具，准备练习秘法
掐不准咒诀，正在恼火	掐不准咒诀，正在恼火
练习秘法时，正乐在其中	练习秘法时，正乐在其中
在练习秘法之时，正觉得心烦意乱	在练习秘法之时，正觉得心烦意乱
在练习秘法间余，刚小憩片刻	在练习秘法间余，刚小憩片刻
在练习秘法时，突然走神	在练习秘法时，突然走神
在练习秘法时略有所得，刚准备收工	在练习秘法时略有所得，刚准备收工
练习秘法不顺，觉得有点灰心	练习秘法不顺，觉得有点灰心
正专心练习秘法	正专心练习秘法
无心练习秘法，正想偷懒	无心练习秘法，正想偷懒
练习秘法完毕，正感觉十分疲惫	练习秘法完毕，正感觉十分疲惫
整理好心情，准备开始练习护体	整理好心情，准备开始练习护体
想到又要练习护体，正觉得忧郁	想到又要练习护体，正觉得忧郁
在练习护体之时，正觉得十分痛苦	在练习护体之时，正觉得十分痛苦
正咬牙坚持练习护体	正咬牙坚持练习护体
在练习护体间余，刚小憩片刻	在练习护体间余，刚小憩片刻
在练习护体之时，正觉得生无可恋	在练习护体之时，正觉得生无可恋
在练习护体时突然走神	在练习护体时突然走神
终于完成了此次护体练习，喜上眉梢	终于完成了此次护体练习，喜上眉梢
正专心练习护体	正专心练习护体
无心练习护体，正想偷懒	无心练习护体，正想偷懒
正懒懒散散的练习护体中	正懒懒散散的练习护体中
觉得练习护体好难，正有点灰心	觉得练习护体好难，正有点灰心
正在为要不要练习护体而困扰	正在为要不要练习护体而困扰
练习护体时走岔了气，正准备休息一下	练习护体时走岔了气，正准备休息一下
正在练习护体	正在练习护体
练习护体许久，正累的气喘吁吁	练习护体许久，正累的气喘吁吁
结束今天的练习护体功课，正疼的直咧嘴	结束今天的练习护体功课，正疼的直咧嘴
刚结束今天的练习护体功课	刚结束今天的练习护体功课
刚练完护体，正觉得有点意犹未尽	刚练完护体，正觉得有点意犹未尽
凝神聚气，准备开始御剑练习	凝神聚气，准备开始御剑练习
准备开始练习御剑术	准备开始练习御剑术
在练习御剑之时，正因法宝太快而苦恼	在练习御剑之时，正因法宝太快而苦恼
正沉醉在御剑练习中	正沉醉在御剑练习中
在练习御剑间余，刚小憩片刻	在练习御剑间余，刚小憩片刻
在练习御剑时突然走神	在练习御剑时突然走神
无心练习御剑术，正想偷懒	无心练习御剑术，正想偷懒
正心不在焉的练习御剑中	正心不在焉的练习御剑中
觉得自己不是练剑的料，正有点灰心	觉得自己不是练剑的料，正有点灰心
正在犹豫要不要练剑	正在犹豫要不要练剑
练习御剑术时走岔了气，正调整内息	练习御剑术时走岔了气，正调整内息
正在练习御剑术	正在练习御剑术
练习御剑完毕，正觉得畅快淋漓	练习御剑完毕，正觉得畅快淋漓
结束今天的御剑功课，正准备收工	结束今天的御剑功课，正准备收工
刚结束今天的御剑功课	刚结束今天的御剑功课
炼宝	炼宝
焚香祈愿，准备开始炼制法宝	焚香祈愿，准备开始炼制法宝
心事重重的准备开始炼制法宝	心事重重的准备开始炼制法宝
炼制法宝结束，正感叹炼器之道博大精深	炼制法宝结束，正感叹炼器之道博大精深
建造	建造
在建筑工作之时，正感觉有点无聊	在建筑工作之时，正感觉有点无聊
在建筑工作之时，突然被思念袭击	在建筑工作之时，突然被思念袭击
在建筑工作间余，刚小憩片刻	在建筑工作间余，刚小憩片刻
在建筑工作之时，正在胡思乱想	在建筑工作之时，正在胡思乱想
在建筑工作时，正累的气喘吁吁	在建筑工作时，正累的气喘吁吁
在建筑工作时，正忍不住神游天外	在建筑工作时，正忍不住神游天外
在建筑工作时，正快乐的哼着小调	在建筑工作时，正快乐的哼着小调
建筑工作不顺，觉得有点消沉	建筑工作不顺，觉得有点消沉
正专心建筑工作	正专心建筑工作
无心建筑工作，正想偷懒	无心建筑工作，正想偷懒
建筑工作时连续失误，差点弄伤自己，正感觉有点生气	建筑工作时连续失误，差点弄伤自己，正感觉有点生气
正在乐呵呵的建筑工作中	正在乐呵呵的建筑工作中
刚完成一个建筑，准备休息一下	刚完成一个建筑，准备休息一下
刚完成建筑工作，准备洗洗手收工	刚完成建筑工作，准备洗洗手收工
正在准备工具，去执行建筑工作	正在准备工具，去执行建筑工作
移除	移除
在移除工作之时，正感觉有点无聊	在移除工作之时，正感觉有点无聊
在移除工作之时，突然心烦意乱	在移除工作之时，突然心烦意乱
在移除工作间余，刚小憩片刻	在移除工作间余，刚小憩片刻
在移除工作之时，正在胡思乱想	在移除工作之时，正在胡思乱想
在移除工作时，正累的气喘吁吁	在移除工作时，正累的气喘吁吁
在移除工作时，正忍不住神游天外	在移除工作时，正忍不住神游天外
在移除工作时，正快乐的哼着小调	在移除工作时，正快乐的哼着小调
移除工作不顺，觉得有点消沉	移除工作不顺，觉得有点消沉
正专心移除工作	正专心移除工作
无心移除工作，正想偷懒	无心移除工作，正想偷懒
正在乐呵呵的移除工作中	正在乐呵呵的移除工作中
拆除	拆除
在拆迁建筑之时，正觉得很爽快	在拆迁建筑之时，正觉得很爽快
在拆迁建筑之时，突然想起了故乡	在拆迁建筑之时，突然想起了故乡
在拆迁建筑间余，刚小憩片刻	在拆迁建筑间余，刚小憩片刻
在拆迁建筑之时，正在胡思乱想	在拆迁建筑之时，正在胡思乱想
在拆迁建筑时，正累的气喘吁吁	在拆迁建筑时，正累的气喘吁吁
在拆迁建筑时，正忍不住神游天外	在拆迁建筑时，正忍不住神游天外
在拆迁建筑时，正快乐的哼着小调	在拆迁建筑时，正快乐的哼着小调
拆迁建筑不顺，觉得有点消沉	拆迁建筑不顺，觉得有点消沉
正专心拆迁建筑	正专心拆迁建筑
无心拆迁建筑，正想偷懒	无心拆迁建筑，正想偷懒
拆迁建筑时连续失误，差点弄伤自己，正感觉有点生气	拆迁建筑时连续失误，差点弄伤自己，正感觉有点生气
正在乐呵呵的拆迁建筑中	正在乐呵呵的拆迁建筑中
刚拆完成一个建筑，正觉得有点可惜	刚拆完成一个建筑，正觉得有点可惜
正在准备工具，去执行拆迁工作	正在准备工具，去执行拆迁工作
进食	进食
正觉得很饿，准备吃点东西	正觉得很饿，准备吃点东西
正大口朵颐	正大口朵颐
吃东西中噎了自己一下，正慌忙的喝水	吃东西中噎了自己一下，正慌忙的喝水
正一脸不痛快的吃饭	正一脸不痛快的吃饭
快乐的享受着进食的乐趣	快乐的享受着进食的乐趣
吃东西呛了自己一口，正大声咳嗽	吃东西呛了自己一口，正大声咳嗽
吃东西时好像在思考什么，一脸凝重	吃东西时好像在思考什么，一脸凝重
刚刚吃饱喝足，正满意的拍肚子	刚刚吃饱喝足，正满意的拍肚子
畅饮	畅饮
正觉得很渴，准备喝点东西	正觉得很渴，准备喝点东西
正大痛饮	正大痛饮
喝东西时呛了自己一下，正不住咳嗽	喝东西时呛了自己一下，正不住咳嗽
正一脸不痛快的喝着什么	正一脸不痛快的喝着什么
喝东西时好像在思考什么，一脸凝重	喝东西时好像在思考什么，一脸凝重
正在专心的照顾他人	正在专心的照顾他人
照顾别人，正觉得有点无聊	照顾别人，正觉得有点无聊
在照顾别人之时，正感觉有点无聊	在照顾别人之时，正感觉有点无聊
在照顾别人之时，突然心烦意乱	在照顾别人之时，突然心烦意乱
在照顾别人的间余，刚小憩片刻	在照顾别人的间余，刚小憩片刻
在照顾别人之时，正在胡思乱想	在照顾别人之时，正在胡思乱想
在照顾别人时，正快乐的哼着小调	在照顾别人时，正快乐的哼着小调
不太想照顾这个人，正准备偷懒	不太想照顾这个人，正准备偷懒
正在享受照顾别人的幸福中	正在享受照顾别人的幸福中
修理	修理
在修理建筑之时，正感觉有点无聊	在修理建筑之时，正感觉有点无聊
在修理建筑间余，刚小憩片刻	在修理建筑间余，刚小憩片刻
在修理建筑之时，正在胡思乱想	在修理建筑之时，正在胡思乱想
在修理建筑时，正累的气喘吁吁	在修理建筑时，正累的气喘吁吁
在修理建筑时，正忍不住神游天外	在修理建筑时，正忍不住神游天外
在修理建筑时，正快乐的哼着小调	在修理建筑时，正快乐的哼着小调
修理建筑不顺，觉得有点消沉	修理建筑不顺，觉得有点消沉
正专心修理建筑	正专心修理建筑
无心修理建筑，正想偷懒	无心修理建筑，正想偷懒
